Milyen két modellje van a foglalkozáspolitikának?;Teljes foglalkoztatás és piacgazdasági modell;Relativitás és abszolut modell;KEynes és Milton modell;Albert Schweitzer és Adam Smith modell
Mi a teljes foglalkoztatás modell?;a munkaerő-kínálatot teljes egészében lekötik, a társadalom minden számára kötelezően munkahelyet biztosítanak. A munkanélküliség felszámolása lehetővé tette a foglalkoztatás kiszélesítését, és igy elérhetővé tette a jövedelmi biztonságot. Emellett segítette a munkanélküliséggel együttjáró szociális problémák felszámolását is.;Teljesen elfogulatan foglalkoztat;Teljesen eltart mindenkit;Teljesen munkanélkülivé tesz
Mi a piacgazdasági modell?;A foglalkoztatás középpontjában a hatékonyság áll. A gazdálkodók kevesebb munkaerőt foglalkoztatnak, mint amennyi a kínálat volt, igy kialakul a munkanélküliség. A teljes foglalkoztatás mint társadalmi, gazdasági cél itt is megjelenik.;Piaci alapon lop;Piacon vesznek krumplit;Piacgazdasági szempontból nézi a gazdasági válságokat
Mik a piacgazdasági modell feladatai?;Mindegyik;azok megélhetésének a biztosítása, akik önhibájukon kivűl jutnak ilyen helyzetbe;a munkaerő-kereslet és kínálat minél tökéletesebb szabályozása;a társadalmi gondoskodás és szolidaritás
Kik a foglalkoztatottak?;mindegyik;az aktív keresők,a nyugdíj mellett munkát vállalók,GYES és GYED igénybevétele miatt a munkavégzéstől ideiglenesen távollévők.
Kik az aktív keresők?;Mindegyik;kereső tevékenységet folytató, keresettel, jövedelemmel rendelkező, egy adott időpontban ténylegesen dolgozó ill.munkaviszonyban lévő személyek az önállak, alkalmazottaik, segítő családtagjaik, valamint társas vállalkozások tagjai alkalmi munkások;azon nyugdíjasok akik szüneteltetik nyugdíjukat, mert dolgoznak sorkatonai szolgálatot teljesítők;szabadságvesztés büntetésüket töltő, vagy előzetesben lévő személyek, ha korábban már dolgoztak
Mi jellemző a gazdaságilag aktív népességre?;a népességnek a gazdaságilag aktív része, amelybe a foglalkoztatottakon kívűl beleszámítjuk a regisztrált munkanélkülieket is.;Gazdaságilag passzívak;Féltékenyek a nyugdíjasokra;Kötelességük dolgozni
Kik a gazdaságilag nem aktív népesség részei?;Mindegyik;nyugdíjasok, járadékosok, akik nem dolgoznak és az önálló kereső foglalkozást nem folytatók;a 15 éven aluliak és felüli tanulók;a háztartásbeliek, közületi eltartottak és szociális gondozottak
Mik a foglalkoztatáspolitika passzív eszközei?;álláskeresési segély, álláskeresési járadék, rendszeres szociális segély, települési támogatás;képzés, foglalkoztatás támogatása;megváltozott munkaképességű emberek munkaerő piaci beilleszkedésének elősegítése;köszhasznú foglalkoztatás, vállalkozóvá válás fejlesztő program támogatása
Mik a foglalkoztatáspolitika aktív eszközei?;Mindegyik;képzés, foglalkoztatás támogatása, preventív munkanélküliség kialakulását megelőző eszközök, programok;megváltozott munkaképességű emberek munkaerőpiaci beilleszkedésének elősegítése,;köszhasznú foglalkoztatás, vállalkozóvá válás program támogatása
Hogyan alakult a munkanélküliség Magyarországon?;Mindegyik;Egy időben nagyon megugrott és felkészületlenül érte a politikát, társadalmat, regisztráltnál jóval nagyobb volt a mértéke, sokan kikerültek a munkanélküli ellátásra jogosultak köréből, és nem regisztráltatják magukat.; Magas a tartósan munkanélküliek aránya, nincs meg a munkaerőpiac kellő mobilitása.; Nagy a szóródás, egyes régiókban a munkaerő-piaci rétegeknél, ez különösen nagy társadalmi és morális feszültséget eredményez.
Ki a munkanélküli?;Olyan bérmunkás, aki szándéka ellenére nem talál munkát, nem dolgozhat és ezért nem juthat munkabérhez;Olyan bérmunkás aki direkt nem akar munkát találni;Olyan bérmunkás aki egész évben szabadságot tölt;Olyan bérmunkás aki szereti a sok pénzt és a kevés munkát.
Kik a leggyakrabban munkanélküliek?;Mindegyik;Fiatalok/pályakezdők (gyakorlat hiánya, rugalmas munkaerő), Alacsony iskolai végzettségűek;50 év feletti férfiak, Rossz egészségi állapotúak;Romák (alacsony végzettség, hátrányos település, negatív diszkrimináció), Hátrányos településen élők
Mik a munkanélküliség formái?;Mindegyik;Abszolút munkanélküliség: (recessziós munkanélküliség) a munkaalkalmak kínálata mélyen alatta van a keresletnek.;Strukturális munkanélküliség: a gazdaság időnkénti szerkezeti átalakulásával van összefüggésben. A munkát keresők és a betöltetlen állások száma nem feltétlen tér el egymástól.;Súrlódásos mn.: a munkavállalók egy része „folyamatosan úton van”: munkát keres, egyikből a másikba.
Mik az álláskeresők munkába lépését segítő programok?;Mindegyik;Közvetítés,Tanácsadás,Képzés;Munkahelymegtartó támogatások,Bértámogatás,Munkahelyteremtés;Adó- és járulékkedvezmények,Közhasznú és közmunkaprogramok,Vállalkozóvá válás támogatása
Milyen lehet a munkanélküliség jellege?;Mindegyik;Tartós - 1 évnél hosszabb;Átmeneti;Önkéntes munkanélküi vagy sem
Milyenek a munkanélküliség területi különbségei?;Észak – Magyarországon a legkritikusabb a helyzet., Nyugat felé haladva egyre jobb.; Észak – Magyarországon a legjobb a helyzet.;Nyugat felé haladva egyre rosszabb;Nyugat felé haladva egyre stagnál
Mik a munkanélküliség következmányei?;Mind;Jövedelem hiánya (eladósodás,fizetőképtelenség, szükségleteit nem tudja megfinanszírozni);Társas kapcsolatok beszűkülése;Pszichés tényezők, Egészségre ártalmas
